"Размер агрегатов, мм","Вес, г",Поврторность,GPS №,Год,Тип обработки
>10,3001,1,__,2019,ПП
10-7,305,1,__,2019,ПП
7-5,253,1,__,2019,ПП
5-3,380,1,__,2019,ПП
3-2,247,1,__,2019,ПП
2-1,771,1,__,2019,ПП
1-0.5,30,1,__,2019,ПП
0.5-0.25,74,1,__,2019,ПП
<0.25,42,1,__,2019,ПП
>10,2814,2,__,2019,ПП
10-7,319,2,__,2019,ПП
7-5,283,2,__,2019,ПП
5-3,409,2,__,2019,ПП
3-2,297,2,__,2019,ПП
2-1,861,2,__,2019,ПП
1-0.5,54,2,__,2019,ПП
0.5-0.25,166,2,__,2019,ПП
<0.25,137,2,__,2019,ПП
>10,3467,3,__,2019,ПП
10-7,554,3,__,2019,ПП
7-5,508,3,__,2019,ПП
5-3,657,3,__,2019,ПП
3-2,536,3,__,2019,ПП
2-1,1147,3,__,2019,ПП
1-0.5,52,3,__,2019,ПП
0.5-0.25,90,3,__,2019,ПП
<0.25,48,3,__,2019,ПП
>10,4648,4,__,2019,ПП
10-7,298,4,__,2019,ПП
7-5,267,4,__,2019,ПП
5-3,394,4,__,2019,ПП
3-2,289,4,__,2019,ПП
2-1,848,4,__,2019,ПП
1-0.5,36,4,__,2019,ПП
0.5-0.25,101,4,__,2019,ПП
<0.25,60,4,__,2019,ПП
>10,3976,5,__,2019,ПП
10-7,470,5,__,2019,ПП
7-5,554,5,__,2019,ПП
5-3,547,5,__,2019,ПП
3-2,532,5,__,2019,ПП
2-1,1042,5,__,2019,ПП
1-0.5,19,5,__,2019,ПП
0.5-0.25,66,5,__,2019,ПП
<0.25,41,5,__,2019,ПП
>10,4146,1,__,2019,ТТ
10-7,235,1,__,2019,ТТ
7-5,235,1,__,2019,ТТ
5-3,345,1,__,2019,ТТ
3-2,243,1,__,2019,ТТ
2-1,708,1,__,2019,ТТ
1-0.5,38,1,__,2019,ТТ
0.5-0.25,109,1,__,2019,ТТ
<0.25,91,1,__,2019,ТТ
>10,2130,2,__,2019,ТТ
10-7,396,2,__,2019,ТТ
7-5,385,2,__,2019,ТТ
5-3,643,2,__,2019,ТТ
3-2,659,2,__,2019,ТТ
2-1,1505,2,__,2019,ТТ
1-0.5,57,2,__,2019,ТТ
0.5-0.25,171,2,__,2019,ТТ
<0.25,100,2,__,2019,ТТ
>10,3904,3,__,2019,ТТ
10-7,167,3,__,2019,ТТ
7-5,154,3,__,2019,ТТ
5-3,249,3,__,2019,ТТ
3-2,157,3,__,2019,ТТ
2-1,580,3,__,2019,ТТ
1-0.5,18,3,__,2019,ТТ
0.5-0.25,54,3,__,2019,ТТ
<0.25,65,3,__,2019,ТТ
>10,3238,4,__,2019,ТТ
10-7,348,4,__,2019,ТТ
7-5,306,4,__,2019,ТТ
5-3,435,4,__,2019,ТТ
3-2,362,4,__,2019,ТТ
2-1,1113,4,__,2019,ТТ
1-0.5,28,4,__,2019,ТТ
0.5-0.25,80,4,__,2019,ТТ
<0.25,35,4,__,2019,ТТ
>10,2635,5,__,2019,ТТ
10-7,329,5,__,2019,ТТ
7-5,314,5,__,2019,ТТ
5-3,433,5,__,2019,ТТ
3-2,475,5,__,2019,ТТ
2-1,1216,5,__,2019,ТТ
1-0.5,34,5,__,2019,ТТ
0.5-0.25,62,5,__,2019,ТТ
<0.25,39,5,__,2019,ТТ
